dataset,group_id,compatible_label,dbfs_dc,band80_centroid_hz
ICBHI,124,Both,-19.57732361915898,227.4250358071406
ICBHI,124,Normal,-21.68302590517687,184.80326266296584
ICBHI,124,Wheeze,-18.070112543377807,194.515419501958
ICBHI,125,Crackle,-20.17593868679835,617.1594433662746
ICBHI,125,Normal,-20.72453591612431,647.3645783631162
ICBHI,126,Normal,-27.89248671195049,123.74938545733625
ICBHI,127,Crackle,-25.713446572790968,123.03474310382904
ICBHI,127,Normal,-26.63537981823221,118.0464903077058
ICBHI,128,Crackle,-47.08158727843287,257.5596095916531
ICBHI,128,Normal,-47.48710899744648,227.48085863900337
ICBHI,129,Crackle,-26.801391197266252,147.51984000302792
ICBHI,129,Normal,-26.267204035726714,139.4392406873488
ICBHI,130,Both,-14.302924221495882,132.93002634354696
ICBHI,130,Crackle,-14.751574664182298,127.22024312994732
ICBHI,130,Normal,-15.800327595721708,136.1223013347248
ICBHI,130,Wheeze,-12.530754963071914,136.9760914304881
ICBHI,131,Normal,-17.606592731254036,196.36395738463153
ICBHI,131,Wheeze,-17.255359525990997,176.54345686610776
ICBHI,132,Crackle,-24.87324248188369,151.7566435062802
ICBHI,132,Normal,-22.649143686804333,138.57510779563978
ICBHI,133,Both,-14.947582278072924,149.06068974542484
ICBHI,133,Crackle,-13.8035075064129,137.17277476159563
ICBHI,133,Normal,-12.31495068290673,135.12273591511712
ICBHI,133,Wheeze,-14.899383853342016,133.61406492746937
ICBHI,134,Normal,-16.811959001699634,148.17486501497388
ICBHI,134,Wheeze,-14.648012971142654,136.24555983538423
ICBHI,135,Crackle,-23.723726403926612,138.43439334648326
ICBHI,135,Normal,-16.800308292954412,158.2719809467388
ICBHI,136,Normal,-13.648512757808849,119.82207482778168
ICBHI,137,Normal,-20.23344565813145,122.35958405738572
ICBHI,138,Both,-9.195167448748016,123.39882323487984
ICBHI,138,Crackle,-11.532780069549698,128.97124543572338
ICBHI,138,Normal,-12.64553561194127,131.6684183085087
ICBHI,138,Wheeze,-13.434492795671648,215.78662909533324
ICBHI,139,Both,-24.64266071133483,205.1651174947371
ICBHI,139,Crackle,-21.577951876907076,205.73367361540735
ICBHI,139,Normal,-21.40827482934695,181.55964307082644
ICBHI,139,Wheeze,-18.604212506557342,174.5990337748069
ICBHI,140,Crackle,-18.81890853489158,145.9358760457378
ICBHI,140,Normal,-16.658774121871865,144.77667329343402
ICBHI,140,Wheeze,-16.445050898067883,133.81717896022428
ICBHI,141,Both,-41.07754141432424,165.07696978926708
ICBHI,141,Normal,-43.559493941644185,126.30938245718563
ICBHI,141,Wheeze,-40.96311799592962,133.15231823811763
ICBHI,142,Crackle,-48.440770070367314,141.43659383443403
ICBHI,143,Normal,-30.629970525438928,153.49083807225463
ICBHI,144,Normal,-25.23300271929744,227.6037774029835
ICBHI,145,Crackle,-21.891775503877636,109.417393172096
ICBHI,145,Normal,-21.510817891545152,131.305690741097
ICBHI,146,Both,-38.29547931543481,164.57494149921504
ICBHI,146,Crackle,-27.465896881234652,122.44357812622827
ICBHI,146,Normal,-33.025340265183715,160.05849328512176
ICBHI,146,Wheeze,-33.6238489889271,292.2656802054462
ICBHI,147,Crackle,-10.564338142453504,349.9977104804891
ICBHI,147,Normal,-10.817067604219751,134.23544877118792
ICBHI,147,Wheeze,-11.34804819876845,137.18003854901735
ICBHI,148,Normal,-22.962721476656572,298.9139877181596
ICBHI,149,Both,-24.17758439028076,132.85814614553263
ICBHI,149,Crackle,-26.56698964797652,164.44050192218927
ICBHI,149,Normal,-25.834995095855852,158.3155854699569
ICBHI,149,Wheeze,-23.22228429712712,149.93481822296528
ICBHI,150,Crackle,-19.770460255456793,119.44100659545776
ICBHI,150,Normal,-18.348408894540253,106.93625716009208
ICBHI,150,Wheeze,-16.76409588585098,214.25973076436557
ICBHI,151,Both,-10.325636178794358,124.61239194092715
ICBHI,151,Crackle,-12.767617447020584,126.19173158956444
ICBHI,151,Normal,-14.044442423464394,135.0205370059625
ICBHI,151,Wheeze,-11.064112500115506,116.80011499179034
ICBHI,152,Normal,-22.01704135550372,132.8615392065369
ICBHI,153,Normal,-22.28210154361451,155.90793294475537
ICBHI,154,Both,-7.215084133415901,118.9235816473205
ICBHI,154,Crackle,-22.97872705244803,142.60223388522033
ICBHI,154,Normal,-23.88250680348122,159.6607325401869
ICBHI,155,Normal,-20.74491298146652,124.2798091345293
ICBHI,156,Both,-27.342007515188023,138.08332574566043
ICBHI,156,Crackle,-26.876051021210788,147.79600938830214
ICBHI,156,Normal,-34.5674121449728,392.33687279551214
ICBHI,156,Wheeze,-29.873511474282815,227.2659160556611
ICBHI,157,Crackle,-10.50263655462012,158.21769416970048
ICBHI,157,Normal,-11.210349781456674,150.72028854806766
ICBHI,158,Both,-10.294773666976418,123.35965979369826
ICBHI,158,Crackle,-10.826456232458902,126.92114422735374
ICBHI,158,Normal,-12.094722520646869,130.0804176857036
ICBHI,158,Wheeze,-9.82775855716668,131.9675151249321
ICBHI,159,Normal,-21.534450879806663,138.35005451833663
ICBHI,159,Wheeze,-21.23302023007296,114.7079204240315
ICBHI,160,Both,-18.036604881303205,116.81514203191696
ICBHI,160,Crackle,-14.87172898057227,144.44299693222513
ICBHI,160,Normal,-10.64282537415422,135.72499332063109
ICBHI,160,Wheeze,-9.423308268329492,117.54823627891216
ICBHI,161,Both,-20.68213353933565,158.10739581197032
ICBHI,161,Crackle,-22.087895698153517,133.64446194403672
ICBHI,161,Normal,-22.059942908830287,167.18605623547973
ICBHI,161,Wheeze,-20.2913112172872,171.47293785613448
ICBHI,162,Both,-11.884562773498264,137.733230174545
ICBHI,162,Crackle,-23.121782063973537,462.11776778879494
ICBHI,162,Normal,-14.412613984196836,158.7106190942907
ICBHI,162,Wheeze,-10.627054555948604,156.70746146413072
ICBHI,163,Crackle,-13.615683575484969,144.00407350967802
ICBHI,163,Normal,-21.47285963549713,148.69125743659094
ICBHI,164,Crackle,-21.7267548716398,131.3467008637471
ICBHI,164,Normal,-25.58737772176729,147.73825394026196
ICBHI,164,Wheeze,-24.55244455729836,141.24856813373322
ICBHI,165,Crackle,-31.372158404100915,134.08100729413923
ICBHI,165,Normal,-33.33165008492182,134.12374857394292
ICBHI,165,Wheeze,-31.73889532223816,154.98135731735735
ICBHI,166,Crackle,-14.645886463326152,146.2104173521679
ICBHI,166,Normal,-12.27479047706115,115.46136774119154
ICBHI,166,Wheeze,-11.905539961764438,99.28934226936887
ICBHI,167,Normal,-29.472390314282343,145.98176881200806
ICBHI,167,Wheeze,-27.8942229855466,184.8538452979797
ICBHI,168,Normal,-30.724004546184315,111.51095537602662
ICBHI,169,Crackle,-26.350292815042465,197.8872608353391
ICBHI,169,Normal,-26.460951979493423,189.04404178574788
ICBHI,170,Both,-15.038091536323083,127.79520934777602
ICBHI,170,Crackle,-17.856617687539995,161.61709416570568
ICBHI,170,Normal,-15.611349504809064,153.0950440828963
ICBHI,170,Wheeze,-16.088366277632687,188.29089880747145
ICBHI,171,Normal,-19.348405832003113,120.48628364955114
ICBHI,172,Both,-11.082921930958149,151.24838133203198
ICBHI,172,Crackle,-18.363385720494975,143.97141646790885
ICBHI,172,Normal,-14.907103935284592,141.92872454594752
ICBHI,172,Wheeze,-14.020758032401949,161.93255536930087
ICBHI,173,Crackle,-18.85009201653033,110.64146399024156
ICBHI,173,Normal,-19.576291183204077,122.0643264649184
ICBHI,174,Both,-7.706442162264787,194.5250455109366
ICBHI,174,Crackle,-14.43712055233443,146.26057735816337
ICBHI,174,Normal,-15.474713347220456,163.06817952412683
ICBHI,174,Wheeze,-14.02436987330619,145.21810427211412
ICBHI,175,Both,-23.928489738670685,150.55627292521206
ICBHI,175,Normal,-20.974446460733468,134.51192018175448
ICBHI,175,Wheeze,-23.13370562175431,153.82658701419598
ICBHI,176,Crackle,-18.655203033847464,144.2656322833792
ICBHI,176,Normal,-19.59758500600155,151.66456411435246
ICBHI,177,Both,-24.55841765256816,128.49265998014667
ICBHI,177,Crackle,-21.499038200370908,126.4689581591636
ICBHI,177,Normal,-16.425082915481727,148.71867501055155
ICBHI,177,Wheeze,-26.29165580161607,125.67858449731224
ICBHI,178,Both,-24.898174867178255,166.59899131759474
ICBHI,178,Crackle,-22.54785419465461,167.43486086977686
ICBHI,178,Normal,-22.419581657094525,174.1750798582992
ICBHI,178,Wheeze,-21.426509295749653,182.60747579706745
ICBHI,179,Both,-19.24208809987779,118.33721670094212
ICBHI,179,Crackle,-20.67681391438534,189.0970011250388
ICBHI,179,Normal,-21.43338757118144,270.3047552465143
ICBHI,179,Wheeze,-26.011169488953406,249.83609819767693
ICBHI,180,Both,-12.800009722085166,136.57343649701693
ICBHI,180,Crackle,-14.23565482492032,137.11465911655955
ICBHI,180,Wheeze,-11.761099693361087,132.64287843060276
ICBHI,181,Crackle,-37.918417254567736,130.85841602650038
ICBHI,181,Normal,-44.03106568851938,248.50721942881563
ICBHI,182,Crackle,-28.140620620493166,143.73791823118728
ICBHI,182,Normal,-27.739696520265827,131.36331646280468
ICBHI,183,Crackle,-30.70787972848976,118.0022133608723
ICBHI,183,Normal,-29.806145851776407,247.47696977644188
ICBHI,184,Normal,-27.87095220913208,125.21091029849416
ICBHI,185,Normal,-20.012176135699775,140.06051971997357
ICBHI,185,Wheeze,-29.36189999978636,126.67889489428411
ICBHI,186,Crackle,-13.509635671095785,143.90267822619217
ICBHI,186,Normal,-14.176792853313156,131.09981636003496
ICBHI,186,Wheeze,-18.484489343122476,116.47761086230608
ICBHI,187,Normal,-15.99047725091866,215.8442936221132
ICBHI,188,Normal,-25.019869963723707,162.40716766146318
ICBHI,189,Crackle,-48.261716369353984,126.99314830015788
ICBHI,189,Normal,-48.33385869574932,128.34647743811743
ICBHI,190,Normal,-25.72352223148205,151.17043732471146
ICBHI,191,Normal,-24.997211180079308,129.13538344777746
ICBHI,192,Both,-27.329091053897145,134.7613864643701
ICBHI,192,Crackle,-24.619866907660743,109.65628796728294
ICBHI,192,Normal,-21.606623027868316,125.7791828506636
ICBHI,192,Wheeze,-24.4864940308686,126.32650186002932
ICBHI,193,Crackle,-21.37075440243325,165.43340237161888
ICBHI,193,Normal,-19.612603590571904,171.2800541293047
ICBHI,193,Wheeze,-16.983953005674127,162.15271629636135
ICBHI,194,Normal,-32.21914354895682,140.7372842623097
ICBHI,195,Both,-20.693746572251072,203.94405164142057
ICBHI,195,Crackle,-26.65894959571701,206.94266949538024
ICBHI,195,Normal,-24.857604902900334,201.8313914603134
ICBHI,195,Wheeze,-23.57567593089556,200.0973030059744
ICBHI,196,Normal,-39.15239304675478,109.4146839127724
ICBHI,197,Crackle,-31.867659784377267,217.4594265864416
ICBHI,197,Normal,-30.48010468128045,143.16609461780456
ICBHI,197,Wheeze,-33.04710372179117,136.81113053293942
ICBHI,198,Crackle,-11.73736833113862,129.33488460576945
ICBHI,198,Normal,-12.793324999135775,127.75718142336191
ICBHI,198,Wheeze,-11.934163469779458,128.3694195371968
ICBHI,199,Crackle,-24.49254668677193,100.05571372128104
ICBHI,199,Normal,-25.39665996366942,94.04990247442642
ICBHI,200,Crackle,-11.784123312292412,163.67296619505476
ICBHI,200,Normal,-11.61099915902168,147.46823101632984
ICBHI,201,Both,-35.7711939400331,146.87880363428138
ICBHI,201,Crackle,-36.18796449366847,141.59906059876957
ICBHI,201,Normal,-37.605041137761305,128.5219652867597
ICBHI,201,Wheeze,-35.95914190618343,159.19355047252355
ICBHI,202,Normal,-26.341363376472415,132.0846653227744
ICBHI,203,Both,-12.959485522885275,181.85209096778607
ICBHI,203,Crackle,-12.22217899038836,162.262118957807
ICBHI,203,Normal,-12.793148883244283,172.26533686287263
ICBHI,203,Wheeze,-12.944661560305844,242.83560406968633
ICBHI,204,Normal,-34.27350932776698,264.2274032124998
ICBHI,204,Wheeze,-45.48176334869801,213.67885814582485
ICBHI,205,Crackle,-18.644829495548343,117.01092390091009
ICBHI,205,Normal,-19.701918936784367,117.31958669589662
ICBHI,206,Both,-22.412288820514675,163.35734907236068
ICBHI,206,Normal,-21.67093577024845,128.6904570257216
ICBHI,206,Wheeze,-22.70713881170927,121.25959443567912
ICBHI,207,Crackle,-15.170463412234287,169.88384744880142
ICBHI,207,Normal,-17.10559725630319,161.91271283225888
ICBHI,207,Wheeze,-19.300642462825767,160.5358751586431
ICBHI,208,Normal,-20.739286640422225,171.1858179003052
ICBHI,209,Normal,-27.970341362004056,424.8116886574125
ICBHI,210,Crackle,-22.87466046456376,186.75191639953744
ICBHI,210,Normal,-21.2015200498484,181.5265772226405
ICBHI,211,Both,-4.563098993486399,153.94953148835242
ICBHI,211,Crackle,-4.068254488248214,149.70392013677676
ICBHI,211,Normal,-12.581085977618365,162.47072023999888
ICBHI,211,Wheeze,-4.56210037268389,168.11814724230263
ICBHI,212,Crackle,-18.355445998255263,133.57677010877228
ICBHI,212,Normal,-18.647144591239716,139.0764444595996
ICBHI,213,Crackle,-8.923279585254663,123.88623578011912
ICBHI,213,Normal,-8.806380001023872,124.78415656894803
ICBHI,214,Normal,-36.23231678902287,144.66020882094583
ICBHI,215,Normal,-41.45086175500548,292.3166830007152
ICBHI,215,Wheeze,-38.97576466933651,112.98665388932268
ICBHI,216,Crackle,-27.931839045872422,115.28091887629986
ICBHI,216,Normal,-23.60124344252994,121.389161978189
ICBHI,216,Wheeze,-20.08447142309731,176.58977926138058
ICBHI,217,Normal,-29.578751207802156,234.393430542584
ICBHI,218,Both,-9.482930502844818,151.39034214953438
ICBHI,218,Crackle,-14.648726942765643,147.51392698869483
ICBHI,218,Normal,-11.129670999563045,205.48712132810624
ICBHI,218,Wheeze,-11.02633180251231,140.01907658034526
ICBHI,219,Crackle,-10.191256064586582,111.5608901902156
ICBHI,219,Normal,-16.264487336789035,122.01892436614166
ICBHI,220,Crackle,-49.12223604367138,237.73061582587695
ICBHI,220,Normal,-46.69352743292899,184.72113311035912
ICBHI,221,Both,-15.55814297262618,150.46997212011712
ICBHI,221,Normal,-16.609544902156127,216.16800765907
ICBHI,221,Wheeze,-16.73828179914548,143.84824619506168
ICBHI,222,Crackle,-11.828398202636842,155.0484549683837
ICBHI,222,Normal,-11.394166081980453,140.28447794565483
ICBHI,222,Wheeze,-10.618830655387196,286.80460248047586
ICBHI,223,Crackle,-13.173936787827936,178.20407104386595
ICBHI,223,Normal,-11.994439893393064,147.17264708969822
ICBHI,223,Wheeze,-13.727939531928968,157.7628612906873
ICBHI,224,Normal,-23.832969108112252,117.44298511354816
ICBHI,225,Normal,-25.965673469596307,137.75808947998712
ICBHI,226,Crackle,-24.65134526040737,178.76656764743666
ICBHI,226,Normal,-22.52303290683718,174.56336680508068
SPRSound,40138127,Normal,-47.912687415455736,212.25509641701257
SPRSound,40490865,Normal,-52.51513140675202,183.40397912732843
SPRSound,40512331,Normal,-53.400334708929336,160.9258171386196
SPRSound,40638274,Crackle,-52.65387186845663,182.14632486912393
SPRSound,40638274,Normal,-52.87213422547243,154.85964034655518
SPRSound,40638274,Wheeze,-56.430596449931514,195.43762490212123
SPRSound,40672181,Normal,-51.32293792506954,148.09961195991048
SPRSound,40686765,Normal,-49.42997157544069,168.57722280032704
SPRSound,40728258,Normal,-50.32417754155431,159.4178345947178
SPRSound,40794666,Normal,-50.247038297492,167.5367645902213
SPRSound,40794825,Normal,-51.635148120640096,182.61212410246793
SPRSound,40794852,Normal,-53.080391754450474,168.22845389874152
SPRSound,40797293,Normal,-48.84952962086301,219.79881921133193
SPRSound,40797382,Crackle,-46.41397418123603,180.5361128396324
SPRSound,40797382,Normal,-48.751388265049314,177.26587605459866
SPRSound,40801342,Crackle,-46.27032902522074,224.76417016003933
SPRSound,40813160,Normal,-52.723728977995066,202.06982080449592
SPRSound,40841531,Crackle,-48.175067669421246,194.98751896162628
SPRSound,40841531,Wheeze,-45.038828965043585,186.71304249381373
SPRSound,40845795,Normal,-50.778333789970624,182.70835581327603
SPRSound,40877908,Crackle,-44.17417800556112,184.00701559265477
SPRSound,40877908,Normal,-47.04569967701282,195.07134340800505
SPRSound,40877908,Wheeze,-51.00731579777724,181.811506974065
SPRSound,40888395,Normal,-44.63113558268254,192.60164967145184
SPRSound,40890405,Normal,-50.09275149971965,159.76950029572168
SPRSound,40908606,Normal,-49.89187557916566,186.38690606764527
SPRSound,40919639,Normal,-51.982805820702126,181.7437890388867
SPRSound,40921345,Normal,-49.184776436726075,170.07742442299983
SPRSound,40933046,Normal,-51.73374033143432,167.2030351519391
SPRSound,40938576,Normal,-46.3197937324768,192.7262366911349
SPRSound,40939271,Normal,-50.95622316522798,188.08769632193696
SPRSound,40943224,Normal,-51.267458316758066,179.82889927911748
SPRSound,40965308,Normal,-54.36577004981437,156.0506408956285
SPRSound,40968057,Normal,-52.89557532318734,212.85543731854895
SPRSound,40969263,Both,-37.816214245079195,215.8140670016045
SPRSound,40969263,Crackle,-51.22862298066125,171.52895816055613
SPRSound,40969263,Normal,-51.01486660308218,165.04594131923395
SPRSound,40970076,Normal,-54.4546437854777,152.09585732094695
SPRSound,40974013,Normal,-54.283422949429585,170.6160169325404
SPRSound,40976541,Normal,-51.183396915060115,191.97630743187153
SPRSound,40976541,Wheeze,-51.808349196955746,238.56248304655327
SPRSound,40978034,Crackle,-53.343905897353395,196.76950518654417
SPRSound,40978034,Normal,-53.600027187565686,143.5786477842405
SPRSound,40993807,Normal,-48.29527825084125,176.61472030287547
SPRSound,40995749,Crackle,-52.0368871863003,199.5215031895387
SPRSound,40995749,Normal,-53.04920995491172,171.50181719480022
SPRSound,40995749,Wheeze,-42.60588063668898,198.525628876184
SPRSound,41004529,Crackle,-46.88836400639585,224.2331217594995
SPRSound,41004529,Normal,-51.01329881513497,213.68178748795737
SPRSound,41004529,Wheeze,-48.69840077534456,187.70432893454733
SPRSound,41006394,Normal,-51.70641855989896,156.77054091448258
SPRSound,41012107,Normal,-51.79110234460283,183.10074234836517
SPRSound,41017156,Normal,-45.83178554139741,165.14565329091153
SPRSound,41020298,Normal,-54.435902017977426,172.87128734044603
SPRSound,41026101,Normal,-40.320557492189685,231.75986749734597
SPRSound,41031554,Normal,-53.57297398310914,172.20665137365916
SPRSound,41031836,Normal,-46.3945769811273,195.3816448024994
SPRSound,41038697,Normal,-51.29427722118909,198.20523993256825
SPRSound,41050041,Normal,-49.6212383234933,176.95837493889397
SPRSound,41052158,Crackle,-50.99347415374571,181.71746672470488
SPRSound,41052158,Normal,-50.052893407319566,182.5180491022088
SPRSound,41056352,Crackle,-50.75342888323139,214.94274247140604
SPRSound,41056352,Normal,-52.71254274474359,194.29008084867675
SPRSound,41056352,Wheeze,-45.38833628360577,191.6818087983411
SPRSound,41056868,Crackle,-48.1135852457309,181.30042737141596
SPRSound,41056868,Normal,-49.79991915328755,176.7535185916392
SPRSound,41063116,Crackle,-51.904096582967135,240.32919153371444
SPRSound,41063116,Normal,-46.92047983241761,224.12132009176975
SPRSound,41063116,Wheeze,-51.90776131478759,243.12790463857348
SPRSound,41064910,Normal,-49.64641386992774,198.13260029266428
SPRSound,41064945,Normal,-52.80985576720106,165.33023512211938
SPRSound,41065704,Normal,-48.13043175456306,205.12137590868895
SPRSound,41066730,Normal,-49.126708938769085,196.45675375112904
SPRSound,41067823,Crackle,-49.436325941634365,192.9807686369698
SPRSound,41067823,Normal,-52.71163502671538,166.2879432163009
SPRSound,41067823,Wheeze,-43.82371151331867,189.4004449035729
SPRSound,41067862,Normal,-54.03340884409321,190.904907313661
SPRSound,41068313,Normal,-52.06761401599813,154.1864276476589
SPRSound,41069224,Normal,-51.91487086541169,179.36336071697565
SPRSound,41069986,Normal,-47.61180746298205,174.86599471348683
SPRSound,41073762,Normal,-51.059337967873375,182.7329125879121
SPRSound,41073831,Normal,-53.6146785412309,182.9441631339936
SPRSound,41074281,Normal,-51.626813822561815,155.59427280835632
SPRSound,41074892,Normal,-50.319013027220336,153.4402107703322
SPRSound,41080062,Normal,-51.07563198762578,192.87860445254583
SPRSound,41080062,Wheeze,-48.415390893620895,222.7045690433826
SPRSound,41082553,Crackle,-52.87484794700957,202.23449251975177
SPRSound,41082553,Normal,-52.26587636438977,180.05233428083005
SPRSound,41085148,Normal,-52.489813625310816,150.55452585132548
SPRSound,41087486,Normal,-50.30131345591196,167.42911197930658
SPRSound,41087486,Wheeze,-45.54926501852137,266.69510925492466
SPRSound,41090326,Normal,-50.61379558934156,165.80633130222
SPRSound,41091768,Crackle,-52.518550435834186,179.77979003847588
SPRSound,41091768,Normal,-51.53562974835288,194.60645105375232
SPRSound,41091988,Normal,-47.92532429573275,205.70551383048337
SPRSound,41092434,Normal,-50.675133062358015,195.3078285008065
SPRSound,41092434,Wheeze,-53.512920402683626,165.982782277086
SPRSound,41096663,Normal,-51.74590302433516,171.68886031793227
SPRSound,41097602,Crackle,-53.33929522834555,190.85346708614952
SPRSound,41097602,Normal,-53.353779135195786,211.91919981430868
SPRSound,41097985,Normal,-49.29356960452509,190.27996902126844
SPRSound,41097986,Crackle,-50.0848589299145,194.0142968874415
SPRSound,41097986,Normal,-50.968536272550594,185.01224476779737
SPRSound,41099241,Normal,-50.86479459009374,162.7076997056104
SPRSound,41100415,Normal,-52.829891929339354,157.33877838644014
SPRSound,41101309,Normal,-41.43280902110605,248.04678901047708
SPRSound,41102359,Normal,-48.72271437784742,184.6426390298712
SPRSound,41102944,Normal,-51.34230550352353,246.8973819397459
SPRSound,41103864,Normal,-50.10705737547534,197.40534402628333
SPRSound,41104324,Normal,-47.23145089282259,182.2009942411507
SPRSound,41106111,Normal,-50.73036379403075,193.76872682041616
SPRSound,41106116,Normal,-54.35922659748712,159.5662028805832
SPRSound,41108858,Normal,-50.56818500101948,176.85964290390947
SPRSound,41112159,Normal,-49.614558615640206,166.86518389939943
SPRSound,41112999,Normal,-52.24624289601888,152.36991339013787
SPRSound,41114600,Normal,-49.14213337153389,199.4539754802559
SPRSound,41115183,Normal,-52.50548419681145,151.43434292312378
SPRSound,41118244,Normal,-53.501753563569665,172.2157445055887
SPRSound,41122685,Normal,-53.18832240105606,156.12450885648144
SPRSound,41125983,Normal,-53.34808419413581,154.0789149013792
SPRSound,41126500,Normal,-52.664219451462145,162.19760244230392
SPRSound,41126642,Normal,-51.86882373851155,159.20987157512587
SPRSound,41129868,Normal,-53.018908588566525,160.5786475329326
SPRSound,41134874,Normal,-48.63612955380296,172.66631922240285
SPRSound,41134874,Wheeze,-50.75324550652529,159.80529588276906
SPRSound,41152442,Normal,-52.401683960003425,163.39274932390452
SPRSound,41156815,Normal,-54.57229641027723,188.46874891173616
SPRSound,41159145,Crackle,-53.0586612338291,207.50847956555867
SPRSound,41159145,Normal,-49.3394309302283,168.80566939174605
SPRSound,41161556,Both,-47.258814651842286,217.49563061862617
SPRSound,41161556,Crackle,-49.52468056414115,197.36595067825803
SPRSound,41161556,Normal,-52.48338773437295,199.92313665918724
SPRSound,41161556,Wheeze,-46.48980351202158,193.08941243661943
SPRSound,41163586,Normal,-50.54968396466148,205.5122209297983
SPRSound,41166273,Normal,-51.6915424646742,182.340089212963
SPRSound,41167576,Normal,-50.046001551153005,190.6799336556464
SPRSound,41171600,Crackle,-46.0014154972253,143.35660700592658
SPRSound,41171600,Normal,-50.619005973815135,170.29728359243526
SPRSound,41171600,Wheeze,-42.15359213182313,288.7243938395187
SPRSound,41173389,Crackle,-55.47718902636353,174.90461515908456
SPRSound,41173389,Normal,-53.46122870183805,167.26570749471122
SPRSound,41173389,Wheeze,-51.296371437871294,176.05867155572233
SPRSound,41186340,Crackle,-50.170793778500624,174.0179394991451
SPRSound,41186340,Normal,-52.00985990220833,166.74015827234905
SPRSound,41187871,Crackle,-49.2078049015258,195.89810245758292
SPRSound,41187871,Normal,-52.69088329073786,180.42430018700233
SPRSound,41187982,Normal,-46.32643129722313,188.95317504602804
SPRSound,41190734,Crackle,-48.57573598643712,203.6364997092828
SPRSound,41190734,Normal,-53.94557599472658,187.77105168030192
SPRSound,41191269,Normal,-54.151948662631085,175.9747583801926
SPRSound,41202647,Crackle,-51.22120388982811,183.00992127340356
SPRSound,41202647,Normal,-51.092021659159016,164.16035561435
SPRSound,41203687,Normal,-52.106660358732256,161.8207377119515
SPRSound,41205122,Normal,-52.72534874550351,202.68092345558145
SPRSound,41205994,Crackle,-54.508676072454904,171.10956539009538
SPRSound,41205994,Normal,-52.751245622981784,178.50230524758874
SPRSound,41209060,Normal,-50.424748008876946,174.01876960288757
SPRSound,41214272,Normal,-49.914494410086846,157.73362216242668
SPRSound,41222985,Normal,-46.6638333011513,188.8497864736636
SPRSound,41222985,Wheeze,-46.39385485483139,196.34790118396725
SPRSound,41223618,Normal,-48.61462195891523,197.80907519187156
SPRSound,41223618,Wheeze,-46.418786348230384,241.89490980273604
SPRSound,41225759,Both,-43.55036764915215,237.9784653216823
SPRSound,41225759,Crackle,-46.42971451650096,232.3416994376279
SPRSound,41225759,Normal,-51.15188886841374,186.02110080008924
